ime,pojavljanje,opis
Mok,MoI,"Seguleh Third, servant of Lady Envy"
Monkrat,TH,Worhipper of the Dying God
Monok Ochem,"HoC, BH",Bonecaster of the Logros T'lan Imass
Moroch Nevath,MT,Finadd and bodyguard to Prince Quillas Diskanar
Mosel,HoC,Sergeant in the Bonehunters
Mowri,CG,"Lady of Beggars, Slaves and Serfs"
Mudslinger,RG,Soldier in the Bonehunters
Mulch,MoI,Healer in the Bridgeburners
Mulvan Dreader,"Rg, DoD",Squad mage in the Bonehunters
Munug,"MoI, TH, CG","Crippled Daru artisan, drawer of cards for the House of Chains; later High Priest of the Fallen One"
Murillio,"GotM, MoI, TH",Courtier in Darujhistan and regular at the Phoenix Inn
Myrla,TH,"Daru, adoptive mother of Harllo Younger"
Nappet,DoD,Wanderer
Natarkas,RG,Awl Copperface
Nekal Bara,MT,Letherii sorceress
Neller,"RG, DoD",Soldier in the Bonehunters
Nenanda,"TH, CG","Tiste Andii, companion of Nimander Golit"
Nep Furrow,"RG, DoD, CG",Squad mage in the Bonehunters
Netok,MoI,"White Face Barghast, second son of Humbrall Taur, brother of Hetan and Cafal"
Nether,"DG, HoC, BH","Wickan warlock, sister to Nil"
Nethpara,DG,Malazan noble on the Chain of Dogs
Nifadas,MT,Letherii First Eunuch
Nightchill,GotM,"High Sorceress in the Malazan Empire; actually the Sister of Cold Nights, an Elder Goddess"
Nil,"DG, HoC, BH","Wickan warlock, brother to Nether"
Nilbanas,MoI,Soldier in the Grey Swords
Nimander Golit,"RG, TH, CG","Tiste Andii, son of Anomander Rake, Soletaken Eleint"
Nisall,"MT, RG",Letherii King's First Concubine
Nkalian,MoI,Soldier in the Grey Swords
Nok,"HoC, BH",Malazan admiral
Nom Kala,"DoD, CG",T'lan Imass
Norul,MoI,Master sergeant in Grey Swords
Nose Stream,DoD,"Sergeant in the Bonehunters, recruited from Letheras"
Noto Boil,"BH, CG",Healer (later High Mage) in Onearm's Host
Nulliss,BH,Villager in Seven Cities
Obo,"BH, NoK",A mage of Malaz Isle
Ocelot,GotM,Clan Leader in Darujhistan's Guild of Assassins
Okral Lom,MoI,"Bonecaster of the K'ron T'lan Imass, Soletaken"
Olar Ethil,"DG, MoI, DoD, CG","T'lan Imass Bonecaster, actually a Soletaken Eleint and Elder Goddess"
Old Hunch Arbat,"MT, RG",Tarthenal
Oleg Vikat,NoK,A scholar on the Warrens
Onos T'oolan,"GotM, MoI, RG, DoD, CG","Clanless T'lan Imass warrior, former First Sword, sometimes called Tool"
Onrack,"HoC, BH, RG, DoD, CG",Clanless T'lan Imass of Logros
Onyx,MT,Official of the Rat Catcher's Guild of Letheras
Orbyn 'Truthfinder',RG,Section chief of Patriotists in Drene
Orenas,HoC,Tiste Liosan
Orfantal,"GotM, MoI, TH",Tiste Andii assassin-mage and Elient Soletaken; brother to Korlat
Ormly,"MT, RG",Champion Letherii rat catcher
Ormulogun,"MoI, BH, CG",Artist attached to Onearm's Host
Paderunt,MT,Assistant to Selush
Pahlk,HoC,"Thelomen Toblakai, Karsa Orlong's grandfather"
Pallid,TH,Hound of Light
Panek,"DG, HoC",Malazan child captured by warriors of the Whirlwind; rescued by Apt and brought to the Realm of Shadow
The Pannion Seer,MoI,Prophet Tyrant ruling the Pannion Domin
Parald,GotM,High Mage of Darujhistan's T'orrud Cabal
Pearl,"DG, HoC, BH",Claw assassin
Pearl (Demon),TH,Demon prisoner in Dragnipur
Pella,"DG, HoC, BH","Malazan guard in the otataral mining camp, Skullcup; later in Bonehunters"
Phaed,"BH, RG","Tiste Andii, daughter of Anomander Rake"
Phyrlis,HoC,Jaghut
Picker,"GotM, MoI, TH, CG",Soldier in the Bridgeburners
Pinosel,DoD,Letherii citizen
Pithy,"RG, DoD, CG",An ex-con
Placid,CG,"Pure Forkrul Assail, lawful inquisitor"
Pores,"HoC, BH, DoD, CG",Lieutenant in the Bonehunters
Pormqual,DG,High Fist of Seven Cities
Possum,NoK,A member of the Claw
Pralt,NoK,A leader of the Shadow Cult
Pran Chole,"GotM, MoI","Bonecaster of the Kron T'lan Imass, Soletaken, father of Silverfox"
Pravalak Rim,"RG, DoD, CG",Corporal in the Bonehunters
Prazek Goul,"DoD, CG",Tiste Andii; Soletaken; once Orfantal's swordmaster
Precious Thimble,"TH, DoD, CG",Retired Mott Irregular and Trygalle Trade Guild shareholder
Primly,"RG, DoD",Sergeant in the Bonehunters
Prist,MT,Gardener in Letheras
Prophet Seech,TH,"High Priest of the Fallen God, once an artist named Munung"
Pule,"MT, DoD",A Nacht
Pully,"RG, DoD, CG",Shake witch
Pullyk Alar,DG,Malazan noble on the Chain of Dogs
Quillas Diskanar,MT,Prince of Lether
Raband,"DoD, CG",Lieutenant (later Captain) in the Bonehunters
Raest,"GotM, MoI, TH","Former Jaghut Tyrant, now retired and guardian of the Azath House in Darujhistan"
Ralata,"DoD, CG",Barghast warrior of the Skincut clan
Rallick Nom,"GotM, TH, OST",Assassin in Darujhistan's Guild of Assassins and a regular at the Phoenix Inn
Ramp,"HoC, RG",Soldier in the Bonehunters
Ranal,HoC,Lieutenant in the Bonehunters
Rath'Beru,MoI,Priest of the Mask Council in Capustan
Rath'Burn,MoI,Priestess of the Mask Council in Capustan
Rath'Dessembrae,MoI,Priestess of the Mask Council in Capustan
Rath'D'rek,MoI,Priest of the Mask Council in Capustan
Rath'Fanderay,MoI,Priestess of the Mask Council in Capustan
Rath'Fener,MoI,Priest of the Mask Council in Capustan
Rath'Hood,MoI,Priest of the Mask Council in Capustan
Rath'Oponn,MoI,Priest of the Mask Council in Capustan
Rath'Queen of Dreams,MoI,Priestess of the Mask Council in Capustan
Rath'Shadowthrone,MoI,Priest of the Mask Council in Capustan
Rath'Togg,MoI,Priest of the Mask Council in Capustan
Rath'Trake,MoI,Priest of the Mask Council in Capustan
Rautos Hivanar,"RG, DoD",Master of the Liberty Consign of Merchants in Letheras
Reccanto Ilk,TH,Trygalle Trade Guild shareholder
Redmask,RG,Awl War Leader who united the tribes in the fashion of the Malazan Army; taught by Toc the Younger
Reem,"RG, DoD",Corporal in the Bonehunters
Reliko,"RG, DoD, CG",Soldier in the Bonehunters
Rellock,DG,Servant to Iskaral Pust and father of Apsalar
Rethal,MT,Tiste Edur warrior
Reverence,CG,"Pure Forkrul Assail, lawful inquisitor"
Rhulad Sengar,"MT, RG","Tiste Edur, fourth Son of Tomad and Uruth, Emperor of Lether and King in Chains"
Rib,CG,Corporal in the Bonehunters
Rind,"MT, DoD",Nacht
Rissarh,MT,Letherii employee of Tehol Beddict
Roach,"DG, HoC, BH, DoD, CG",Hengese lapdog and a survivor of the Chain of Dogs
Rood,"GotM, DG, HoC, TH",Hound of Shadow
Ruby,MT,Official of the Rat Catcher's Guild of Letheras
Rucket,"MT, RG, DoD",Chief Investigator of the Rat Catcher's Guild of Letheras
Rudd,DG,Familiar of High Alchemist Baruk
Rud Ellale,"MT, RG, DoD, CG","Half human, half Eleint Soletaken, son of Menandore and Udinaas, raised by Bentract Imass. Also known as Ryadd Eleis"
Ruffle,"RG, DoD, CG",Corporal in the Bonehunters
Rumjugs,"DoD, CG","Soldier (later sergeant) in the Bonehunters, recruited from Letheras; formerly a prostitute"
Runter,MoI,Sapper in the Bridgeburners
Run'Thurvian,"DoD, CG",Destriant of the Perish Grey Helms
Ruthan Gudd,"BH, DoD, CG",Captain in the Bonehunters
Rutt,"DoD, CG",Child in the Snake
Ryllandaras,"DG, HoC, RotCG",D'ivers; also called the White Jackal
Rystalle Ev,"DoD, CG",T'lan Imass
Rythe Bude,"BH, CG",Fist in Onearm's Host
Rythok,DoD,K'Chain Che'Malle K'ell Hunter
Sad,"DoD, CG",Soldier in the Bonehunters
Saddic,"DoD, CG",Child in the Snake
Sag'Churok,"RG, DoD, CG","K'ell Hunter of the K'Chain Che'Malle, onetime bodyguard to Redmask"
Salind,TH,High Priestess of the Cult of the Redeemer
Salk Elan,DG,Name used by Pearl
Saltlick,"RG, BH, DoD, CG",Soldier in the Bonehunters
Samar Dev,"BH, RG, TH","Scholar and witch from Seven Cities, companion of Karsa Orlong"
Sandalath Drukorlat,"MT, RG, DoD, CG","Tiste Andii, wife of Withal"
Sands,"HoC, BH, RG",Soldier in the Bonehunters
Sathboro Rangar,BH,Arapay warlock
Sawark,DG,"Malazan Commander of the guard in the otataral mining camp, Skullcup"
Scabandari Bloodeye,MT,Tiste Edur Elient Soletaken
Scant,"RG, DoD",Soldier in the Bonehunters
Scillara,"HoC, BH, TH, OST","Camp follower in Raraku, later companion to Cutter"
Scint,MT,Official of the Rat Catcher's Guild of Letheras
Scorch,TH,Bodyguard in Darujhistan
Scrawl,HoC,Soldier in the Bonehunters
Scurve,"GotM, TH",Barkeep at the Phoenix Inn in Darujhistan
Seal,NoK,A onetime Malazan army healer
Seba Krafar,TH,Master of Darujhistan's Guild of Assassins
Seerdomin,"MoI, TH","Former Seerdomin of the Pannion Domin, now resident in Black Coral"
Selush,MT,Letherii dresser of the dead
Selv,DG,Wife of Captain Keneb
Senu,MoI,"Seguleh warrior, servant to Lady Envy"
Seren Pedac,"MT, RG, DoD, CG","Acquitor to Buruk the Pale, later one of the Hunted."
Serenity,"MT, CG","Pure Forkrul Assail, lawful inquisitor"
Serrat,GotM,Second-in-Command of the Tiste Andii under Anomander Rake
Setoc,"RG, DoD, CG",Letherii child
Sha'ik,DG,Prophetess and leader of the Whirlwind
Shadowthrone,"GotM, DG, HoC, BH, RG, TH, CG, NoK",Ascendant and ruler of the Warren of Shadow; also called Ammanas
Shan,"GotM, DG, TH",Hound of Shadow
Shand,MT,Letherii employee of Tehol Beddict
Shank,MoI,Mage in the Bridgeburners
Shard,"HoC, BH. RG, DoD, CG",Corporal in the Bonehunters
Shardan Lim,TH,Council member in Darujhistan
Sharl,CG,Shake woman
Sheb,DoD,Wanderer
Shedunul,CG,"Lady of Health, another name for Soliel"
Shelemasa,"DoD, CG",Warrior of the Khundryl Burned Tears
Sheltatha Lore (Daughter Dusk),RG,"Elder ascendant, Soletaken Elient, daughter of Tiam and Scabandari Bloodeye, sister of Sukul Ankhadu and Menandore, mother of Lady Envy and Sister Spite"
Shoaly,"RG, DoD",Soldier in the Bonehunters
Shortnose,"HoC, BH, RG, DoD, CG",Soldier in the Bonehunters
Shurq Elalle,"MT, RG, DoD, CG",Undead Letherii thief and itinerant pirate captain
Sidlis,MoI,Soldier in the Grey Swords
Silanah,"GotM, TH, CG",Eleint and companion to Anomander Rake
Silchas Ruin,"MT, RG, DoD, CG","Tiste Andii Elient Soletaken; brother of Anomander Rake, also called White Crow; one of the Hunted"
Silgar,HoC,"Malazan slavemaster, later Leper of the House of Chains"
Silverfox,MoI,"Reborn form of Tattersail, Nightchill and Bellurdan; T'lan Imass bonecaster; Soletaken"
Simtal,GotM,Noblewoman in Darujhistan
Sinn,"HoC, BH, RG, DoD, CG",Young girl; precociously talented High Mage in the Bonehunters; companion to Grub
Sinter,"DoD, CG",Sergeant in the Bonehunters
Sirryn Kanar,RG,Palace guard in Letheras
Sister Spite,"BH, TH","Sorceress, daughter of Draconus and Sheltatha Lore, sister of Lady Envy, Soletaken"
Skanarow,"DoD, CG",Captain in the Bonehunters
Skim,"RG, DoD",Soldier in the Bonehunters
Skintick,"TH, CG","Tiste Andii, cousin to Nimander Golit; Soletaken Eleint"
Skorken Kaban,"RG, DoD, CG",First mate on Shurq Elalle's ship
Skulldeath,"RG, DoD, CG",Soldier in the Bonehunters
Skwish,"RG, DoD, CG",Shake witch
Smiles,"HoC, BH, RG, DoD, CG",Soldier in the Bonehunters
Snell,TH,Daru child
Sobelone,HoC,Sergeant in the Bonehunters
Sordiko Qualm,TH,High Priestess of Shadow in Derujistan
Sormo E'nath,DG,Wickan warlock
Spax,"DoD, CG",Gilk Barghast Warchief
Spindle,"MoI, TH, OST","Mage and sapper in the Bridgeburners, 7th squad"
Spinnock Durav,"TH, CG",Tiste Andii warrior
Squint,"DG, HoC, BH",Malazan bowman who shot Coltaine at the Fall outside Aren
Stacker,HoC,Soldier in the Bonehunters
Stavi,"DoD, CG","Daughter of Hetan, twin sister of Storii"
Stillis,GotM,Captain of the Guard for Lady Simtal's Estate in Darujhistan
Stolmen,DoD,Barghast warchief
Stonny Menackis,"MoI, TH","Caravan guard on Genabackis, and later the head of a Dueling School in Darujhistan."
Storii,"DoD, CG","Daughter of Hetan, twin sister of Stavi"
Stormy,"DG, HoC, BH, RG, DoD, CG","A former high-ranking member of the old guard in the Empire, Stormy was busted down by Lasseen after she took over and outlawed the Cult of Fener, which he was a part of. Stormy and Gesler are put into the Marines by Captain Lull during the Chain of Dogs, and Stormy is then a Corporal in the Bonehunters, before eventually taking on the role of Shield Anvil of the K'Chain Che'Malle. He sacrifices his life to stop Sinn from possessing the heart of the Crippled God. Stormy is a very sensitive man who gets easily attached to people and is very emotional whenever someone he cares about dies. Although he sometimes acts like an idiot outwardly, this is revealed to be something he only does as an act."
Stahl,DoD,Barghast warrior
Strap Mull,"RG, DoD",Soldier in the Bonehunters
Straw,MoI,Mott Irregular
Strong Rall,MT,Cut-throat in Letheras
Studlock,TH,Castellan in Darujhistan; renegade Seguleh; also known as Studious Lock
Stump,MoI,Mott Irregular
Sty,MoI,Mott Irregular
Sukul Ankhadu (Sister Dapple),RG,"Elder ascendant, Soletaken Elient, daughter of Tiam and Osserc, sister of Sheltatha Lore and Menandore"
Sulkit,DoD,K'Chain Che'Malle
Sulmar,DG,Captain in the 7th Army
Sulty,"GotM, TH",Serving woman at the Phoenix Inn in Darujhistan
Sunrise,DoD,"Sergeant in the Bonehunters, recruited from Letheras"
Surgen Ress,NoK,The champion of Y'Ghatan who fought Dassem Ultor just before his apparent death
Sweetcreek,"BH, CG",Captain (later Fist) in Onearm's Host
Sweetlard,"DoD, CG","Soldier (later sergeant) in the Bonehunters, recruited from Letheras; formerly a prostitute"
Sweetest Sufferance,"TH, CG",Trygalle Trade Guild shareholder
Synyg,HoC,"Thelomen Toblakai, Karsa Orlong's father"
T'Amber,"DG, HoC, BH","Tavore Paran's aide and lover, the Spirit of the Eres'al"
T'morol,"HoC, CG",Mathok's bodyguard
Talo Krafar,GotM,Assassin of Jurrig Denatte's Clan in Darujhistan's Guild of Assassins
Talamandas,"MoI, DoD",Barghast sticksnare
Tanal Yathvanar,RG,Personal assistant of Karos Invictad of the Patriotists of Letheras
Tanakalian,"BH, DoD, CG",Shield Anvil of the Perish Grey Helms
Taralack Veed,"BH, RG, DoD","Gral companion to Icarium, agent of the Nameless Ones"
Tarr,"HoC, BH, RG, DoD, CG",Corporal (later Sergeant) in the Bonehunters
Tattersail,GotM,Malazan Cadre Sorceress in Onearm's Host
Tavore Paran,"GotM, DG, HoC, BH, RG, DoD, CG","Malazan noble-born of House Paran; sister to Felisin and Ganoes Paran; Adjunct of the Malazan Empress, commander of the Bonehunters"
Tavos Pond,"HoC, BH, RG",Mage in Bonehunters
Tayschrenn,"GotM, MoI, BH, NoK","Malazan High Mage, for a while masquerades as Arthantos"
Taxilian,"BH, RG, DoD",Interpreter
Tehol Beddict,"MT, RG, DoD","Letherii, brother to Hull and Brys Beddict; later King of Letheras"
Telorast,"BH, RG, DoD, CG","Eleint ghost, trapped in Emurlahn, freed by Apsalar, twin to Curdle"
Temul,"DG, HoC, BH","Crow Clan Wickan lancer under Coltaine, later Fist in the Bonehunters"
Temper,"BH, CG, NoK","A former member of Dassem Ultor's First Sword, and later a guardian for the Deadhouse"
Tene Baralta,"DG, HoC, BH","Captain of the Red Blades, later Fist in the Bonehunters"
Thenik the Shattered,"DoD, CG",T'lan Imass
Theradas Buhn,MT,"Tiste Edur, eldest son of the Buhn bloodline"
Tholis,GotM,High Mage of Darujhistan's T'orrud Cabal
Thom Tissy,"HoC, BH, RG, DoD",Sergeant in the Bonehunters
Thordy,TH,"Wife of Gaz, briefly Mason of Death"
Throatslitter,"HoC, BH, RG, DoD, CG",Soldier in the Bonehunters
Thurule,"MoI, TTH","Seguleh warrior, servant to Lady Envy"
Til'Aras Benok,RG,T'lan Imass bonecaster
Tiserra,TH,Wife of Torvald Nom; a potter.
Toc the Elder,"GotM, CG",Malazan who disappeared during Laseen's purges of the Old Guard
Toc the Younger,"GotM, MoI, RG, TH, DoD, CG",Son of Toc the Elder; Malazan scout in Onearm's Host; an agent of the Claw
Toes,MoI,Mage in the Bridgeburners
Tomad Sengar,"MT, BH, RG","Tiste Edur; Patriarch of the Sengar Bloodline, husband of Uruth, father of Fear, Trull, Binadas and Rhulad"
Topper,"GotM, DG, HoC",Commander of the Claw
Torahval Delat,BH,"Priestess of Poliel in Seven Cities, sister to Quick Ben"
Torun,MoI,Soldier in the Grey Swords
Torrent,"RG, DoD, CG",Awl Copperface
Torvald Nom,"HoC, TH, OST","Formerly companion to Karsa Orlong, later Guard Captain in Darujhistan; cousin of Rallick Nom, husband of Tiserra"
Touchy,"DoD, BH, RG, CG",Corporal in the Bonehunters; twin of Brethless
Travale,GotM,Soldier of Darujhistan's T'orrud Cabal
Treach,MoI,"First Hero (God of War), the Tiger of Summer"
Trenech,NoK,A regular at the Hanged Man inn
Triban Gnol,"MT, RG",Letherii Chancellor
Trissin,CG,Watered Forkrul Assail
Trotts,"GotM, MoI, DoD, CG","Barghast warrior in the Bridgeburners, 9th Squad"
Trull Sengar,"HoC, MT, BH, RG","Tiste Edur, son of Uruth and Tomad Sengar and brother of Fear, Rhulad and Binadas"
Truth,"DG, HoC, BH",Recruit in the Malazan Coastal Guard
Tulip,"HoC, RG, DoD",Corporal in the Bonehunters
Tugg,HoC,Sergeant in the Bonehunters
Tulas Shorn,"TH, CG",Undead Eleint Soletaken - contemporary of Silchas Ruin and Anomander Rake
Tumlit,DG,Malazan noble on the Chain of Dogs
Turban Orr,GotM,Councilman in Darujhistan and Lady Simtal's lover
Turble,MT,Letherii citizen
Twist,MoI,Leader of the Black Moranth
Ublala Pung,"MT, RG, DoD, CG","Well endowed Letherii criminal, half Tarthenal Toblakai"
Udinaas,"MT, RG, DoD, CG","Letherii servant to Rhulad Sengar, Soletaken; later one of the Hunted"
Ulag Togtil,"DoD, CG",T'lan Imass
Ultentha,MoI,Pannion Septarch of Coral
Ulshun Pral,"MT, RG, DoD, CG",Imass
Unn,MT,Half-blood Letherii indigent
Unnutal Hebaz,MT,Preda of Letherii army
Untilly Rum,DoD,Captain in the Bonehunters
Urb,"BH, RG, DoD, CG",Sergeant in the Bonehunters
Ursto Hoobutt,"MT, RG, DoD",Letherii citizen
Uru Hela,"HoC, RG",Soldier in the Bonehunters
Urugal the Woven,"HoC, DoD, CG","T'lan Imass Unbound in service to the Crippled God, and one of the gods of the Teblor tribes."
Urul,MT,Chief server in Huldo's restaurant
Uruth,"MT, RG","Tiste Edur; Matriarch of the Sengar Bloodline, wife of Tomad, mother of Fear, Trull, Binadas and Rhulad"
Vaneb,DG,Second-born son of Captain Keneb and Selv
Varat Taun,"BH, RG",Captain under Yan Tovis
Vastly Blank,"RG, DoD, CG",Soldier in the Bonehunters
Vedith,DoD,Warrior of the Khundryl Burned Tears
Velbara,MoI,Recruit in Grey Swords
Venaz,TH,Youth worker in the Darujhistan mines
Venitt Sathad,RG,Principal Field Agent of Rautos Havanar
Vildrom,GotM,City guard of Darujhistan
Virrick,MT,Letherii slave among the Tiste Edur
Vorcan,"GotM, TH","Mistress of Darujhistan's Guild of Assassins; a High Mage, also known as Lady Varada briefly"
Whiskeyjack,"GotM, MoI, TH, DoD, CG",Sergeant of the Bridgeburners
Widdershins,"HoC, BH, RG, DoD, CG",Soldier in the Bonehunters
Wimble Thrup,"DoD, CG",Soldier in the Bonehunters
Withal,"MT, BH, RG, DoD, CG","A Meckros Weaponsmith who briefly works for the Crippled God, and later accompanies the Bonehunters after escaping from the Crippled God's influence"
Wither,"MT, RG",Shadow wraith
Wu,"DL, DhL",Dal Hon mage that would later take the name Kellanved and found the Malazan empire only to later ascend to the House of Shadow as Ammanas or Shadowthrone
Yan Tovis,"MT, BH, RG, DoD, CG","Letherii Atri-Preda at Feint Reach, also called Twilight"
Yedan Derryg,"RG, DoD, CG","Letherii, the Watch"
