ime,opis,pojavljanje
Lera Epar,"T'lan Imass bonecaster, AKA Bitterspring
","DoD, CG"
Letur Anict,"Letherii factor in Drene
",RG
Lim,"Councilman of Darujhistan
",GotM
Limp,"Soldier in the Bonehunters
","HoC, RG, DoD, CG"
List,"Corporal in the 7th Army
",DG
Lobe,"Soldier in the Bonehunters
","HoC, RG, DoD"
Lock,"Hound of Light
",TH
Logros,"Commander of the Logros T'lan Imass
",GotM
Lookback,"Soldier in the Bonehunters
","RG, DoD, CG"
Lorn,"Adjunct to the Empress of the <a href=""/w/index.php?title=Malazan_Empire&amp;action=edit&amp;redlink=1"" class=""new"" title=""Malazan Empire (page does not exist)"">Malazan Empire</a>
",GotM
Lostara Yil,"Red Blade; later captain in the Bonehunters and assistant to Tavore Paran
","DG, HoC, BH, RG, DoD, CG"
Lubben,"Gatekeeper at Mock's Hold
","BH, NoK"
Lull,"Captain in the Sialk marines
",DG
Lutes,"Soldier in the Bonehunters
","HoC, BH, RG"
Madan'tul Rada,"Faradan Sort's lieutenant in the Bonehunters
","BH, RG"
Madrun,"Compound guard in Darujhistan; renegade Seguleh
",TH
Malachar,"Tiste Liosan
",HoC
Mallet,"Squad healer in the Bridgeburners
","GotM, MoI, TH, DoD, CG"
Mallick Rel,"Chief Advisor to the High Fist of Seven Cities
","DG, BH"
Mammot,"High Priest of D'riss in the T'orrud Cabal, and eminent scholar in Darujhistan; uncle to Crokus
",GotM
Mape,"A Nacht
","MT, DoD"
Mappo Runt,"Trell companion to Icarium
","GotM, DG, HoC, BH, TH, DoD, CG"
Maral Eb,"Barghast warchief who usurps control of the White Face Barghast after Onos Toolan's death.
",DoD
Marble,"Sorcerer
",MoI
Masan Gilani,"Dal Honese soldier in the Bonehunters
","BH, RG, DoD, CG"
Masarch,"Awl warrior of Renfayar Clan
",RG
Master Quell,"Trygalle Trade Guild navigator and mage
",TH
Mathok,"Desert Tribes Warleader and later a member of the Host.
","HoC, BH, CG"
Matra Brith,"Unblooded Tiste Edur
",MT
Maybe,"Soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Mayen,"Tiste Edur, betrothed of Fear Sengar, later wife of Rhulad and Empress of Lether
",MT
Mayfly,"Soldier in the Bonehunters
","BH, RG, DoD, CG"
Mebra,"Spy who operates a large network from Ehrlitan, <a href=""/wiki/Seven_Cities_(Malazan)"" class=""mw-redirect"" title=""Seven Cities (Malazan)"">Seven Cities</a>
","DG, HoC"
Meese,"Proprietor the Phoenix Inn in Darujhistan
","GotM, TH"
Melest,"Watered Forkrul Assail
",CG
Menandore (Sister Dawn),"Elder ascendant, Soletaken Elient, daughter of Tiam and Osserc, sister of Sukul Ankhadu and Sheltatha Lore
","MT, RG"
Mesker Setral,"Red Blade and brother of Baria Setral
",DG
Messremb,"Soletaken
",DG
The Mhybe,"Rhivi mother of Silverfox, her title means ""the Vessel""
",MoI
Midik Buhn,"Tiste Edur, second son of the Buhn bloodline
",MT
Minala,"Malazan refugee of the Whirlwind and sister of Selv
","DG, HoC, BH, CG"
Mincer,"Sapper in the 7th Army
",DG
Moak,"Sergeant in the Bonehunters
","HoC, BH"
Moby,"Mammot's pet familiar, in the form of a bhok'arala
","GotM, DG"
Mogora,"<a href=""/wiki/Malazan_Book_of_the_Fallen#Soletaken_and_D&#39;ivers"" title=""Malazan Book of the Fallen"">D'ivers</a> wife of Iskaral Pust. Assumes forms of spiders
","DG, HoC, BH, TH"
Mok,"Seguleh Third, servant of Lady Envy
",MoI
Monkrat,"Worhipper of the Dying God
",TH
Monok Ochem,"Bonecaster of the Logros T'lan Imass
","HoC, BH"
Moroch Nevath,"Finadd and bodyguard to Prince Quillas Diskanar
",MT
Mosel,"Sergeant in the Bonehunters
",HoC
Mowri,"Lady of Beggars, Slaves and Serfs
",CG
Mudslinger,"Soldier in the Bonehunters
",RG
Mulch,"Healer in the Bridgeburners
",MoI
Mulvan Dreader,"Squad mage in the Bonehunters
","Rg, DoD"
Munug,"Crippled Daru artisan, drawer of cards for the House of Chains; later High Priest of the Fallen One
","MoI, TH, CG"
Murillio,"Courtier in Darujhistan and regular at the Phoenix Inn
","GotM, MoI, TH"
Myrla,"Daru, adoptive mother of Harllo Younger
",TH
Nappet,"Wanderer
",DoD
Natarkas,"Awl Copperface
",RG
Nekal Bara,"Letherii sorceress
",MT
Neller,"Soldier in the Bonehunters
","RG, DoD"
Nenanda,"Tiste Andii, companion of Nimander Golit
","TH, CG"
Nep Furrow,"Squad mage in the Bonehunters
","RG, DoD, CG"
Netok,"White Face Barghast, second son of Humbrall Taur, brother of Hetan and Cafal
",MoI
Nether,"Wickan warlock, sister to Nil
","DG, HoC, BH"
Nethpara,"Malazan noble on the Chain of Dogs
",DG
Nifadas,"Letherii First Eunuch
",MT
Nightchill,"High Sorceress in the Malazan Empire; actually the Sister of Cold Nights, an Elder Goddess
",GotM
Nil,"Wickan warlock, brother to Nether
","DG, HoC, BH"
Nilbanas,"Soldier in the Grey Swords
",MoI
Nimander Golit,"Tiste Andii, son of Anomander Rake, Soletaken Eleint
","RG, TH, CG"
Nisall,"Letherii King's First Concubine
","MT, RG"
Nkalian,"Soldier in the Grey Swords
",MoI
Nok,"Malazan admiral
","HoC, BH"
Nom Kala,"T'lan Imass
","DoD, CG"
Norul,"Master sergeant in Grey Swords
",MoI
Nose Stream,"Sergeant in the Bonehunters, recruited from Letheras
",DoD
Noto Boil,"Healer (later High Mage) in Onearm's Host
","BH, CG"
Nulliss,"Villager in Seven Cities
",BH
Obo,"A mage of Malaz Isle
","BH, NoK"
Ocelot,"Clan Leader in Darujhistan's Guild of Assassins
",GotM
Okral Lom,"Bonecaster of the K'ron T'lan Imass, Soletaken
",MoI
Olar Ethil,"T'lan Imass Bonecaster, actually a Soletaken Eleint and Elder Goddess
","DG, MoI, DoD, CG"
Old Hunch Arbat,"Tarthenal
","MT, RG"
Oleg Vikat,"A scholar on the Warrens
",NoK
Onos T'oolan,"Clanless T'lan Imass warrior, former First Sword, sometimes called Tool
","GotM, MoI, RG, DoD, CG"
Onrack,"Clanless T'lan Imass of Logros
","HoC, BH, RG, DoD, CG"
Onyx,"Official of the Rat Catcher's Guild of Letheras
",MT
Orbyn 'Truthfinder',"Section chief of Patriotists in Drene
",RG
Orenas,"Tiste Liosan
",HoC
Orfantal,"Tiste Andii assassin-mage and Elient Soletaken; brother to Korlat
","GotM, MoI, TH"
Ormly,"Champion Letherii rat catcher
","MT, RG"
Ormulogun,"Artist attached to Onearm's Host
","MoI, BH, CG"
Paderunt,"Assistant to Selush
",MT
Pahlk,"Thelomen Toblakai, Karsa Orlong's grandfather
",HoC
Pallid,"Hound of Light
",TH
Panek,"Malazan child captured by warriors of the Whirlwind; rescued by Apt and brought to the <a href=""/wiki/High_House_Shadow#Realm_of_Shadow"" class=""mw-redirect"" title=""High House Shadow"">Realm of Shadow</a>
","DG, HoC"
The Pannion Seer,"Prophet Tyrant ruling the Pannion Domin
",MoI
Parald,"High Mage of Darujhistan's T'orrud Cabal
",GotM
Pearl,"Claw assassin
","DG, HoC, BH"
Pearl (Demon),"Demon prisoner in Dragnipur
",TH
Pella,"Malazan guard in the <a href=""/wiki/Otataral"" class=""mw-redirect"" title=""Otataral"">otataral</a> mining camp, Skullcup; later in Bonehunters
","DG, HoC, BH"
Phaed,"Tiste Andii, daughter of Anomander Rake
","BH, RG"
Phyrlis,"Jaghut
",HoC
Picker,"Soldier in the Bridgeburners
","GotM, MoI, TH, CG"
Pinosel,"Letherii citizen
",DoD
Pithy,"An ex-con
","RG, DoD, CG"
Placid,"Pure Forkrul Assail, lawful inquisitor
",CG
Pores,"Lieutenant in the Bonehunters
","HoC, BH, DoD, CG"
Pormqual,"High Fist of Seven Cities
",DG
Possum,"A member of the Claw
",NoK
Pralt,"A leader of the Shadow Cult
",NoK
Pran Chole,"Bonecaster of the Kron <a href=""/w/index.php?title=T%27lan_Imass&amp;action=edit&amp;redlink=1"" class=""new"" title=""T&#39;lan Imass (page does not exist)"">T'lan Imass</a>, Soletaken, father of Silverfox
","GotM, MoI"
Pravalak Rim,"Corporal in the Bonehunters
","RG, DoD, CG"
Prazek Goul,"Tiste Andii; Soletaken; once Orfantal's swordmaster
","DoD, CG"
Precious Thimble,"Retired Mott Irregular and Trygalle Trade Guild shareholder
","TH, DoD, CG"
Primly,"Sergeant in the Bonehunters
","RG, DoD"
Prist,"Gardener in Letheras
",MT
Prophet Seech,"High Priest of the Fallen God, once an artist named Munung
",TH
Pule,"A Nacht
","MT, DoD"
Pully,"Shake witch
","RG, DoD, CG"
Pullyk Alar,"Malazan noble on the Chain of Dogs
",DG
Quillas Diskanar,"Prince of Lether
",MT
Raband,"Lieutenant (later Captain) in the Bonehunters
","DoD, CG"
Raest,"Former <a href=""/w/index.php?title=Jaghut&amp;action=edit&amp;redlink=1"" class=""new"" title=""Jaghut (page does not exist)"">Jaghut</a> Tyrant, now retired and guardian of the Azath House in Darujhistan
","GotM, MoI, TH"
Ralata,"Barghast warrior of the Skincut clan
","DoD, CG"
Rallick Nom,"Assassin in Darujhistan's Guild of Assassins and a regular at the Phoenix Inn
","GotM, TH, OST"
Ramp,"Soldier in the Bonehunters
","HoC, RG"
Ranal,"Lieutenant in the Bonehunters
",HoC
Rath'Beru,"Priest of the Mask Council in Capustan
",MoI
Rath'Burn,"Priestess of the Mask Council in Capustan
",MoI
Rath'Dessembrae,"Priestess of the Mask Council in Capustan
",MoI
Rath'D'rek,"Priest of the Mask Council in Capustan
",MoI
Rath'Fanderay,"Priestess of the Mask Council in Capustan
",MoI
Rath'Fener,"Priest of the Mask Council in Capustan
",MoI
Rath'Hood,"Priest of the Mask Council in Capustan
",MoI
Rath'Oponn,"Priest of the Mask Council in Capustan
",MoI
Rath'Queen of Dreams,"Priestess of the Mask Council in Capustan
",MoI
Rath'Shadowthrone,"Priest of the Mask Council in Capustan
",MoI
Rath'Togg,"Priest of the Mask Council in Capustan
",MoI
Rath'Trake,"Priest of the Mask Council in Capustan
",MoI
Rautos Hivanar,"Master of the Liberty Consign of Merchants in Letheras
","RG, DoD"
Reccanto Ilk,"Trygalle Trade Guild shareholder
",TH
Redmask,"Awl War Leader who united the tribes in the fashion of the Malazan Army; taught by Toc the Younger
",RG
Reem,"Corporal in the Bonehunters
","RG, DoD"
Reliko,"Soldier in the Bonehunters
","RG, DoD, CG"
Rellock,"Servant to <a href=""/wiki/High_House_Shadow#Magic"" class=""mw-redirect"" title=""High House Shadow"">Iskaral Pust</a> and father of Apsalar
",DG
Rethal,"Tiste Edur warrior
",MT
Reverence,"Pure Forkrul Assail, lawful inquisitor
",CG
Rhulad Sengar,"Tiste Edur, fourth Son of Tomad and Uruth, Emperor of Lether and King in Chains
","MT, RG"
Rib,"Corporal in the Bonehunters
",CG
Rind,"Nacht
","MT, DoD"
Rissarh,"Letherii employee of Tehol Beddict
",MT
Roach,"Hengese lapdog and a survivor of the Chain of Dogs
","DG, HoC, BH, DoD, CG"
Rood,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
","GotM, DG, HoC, TH"
Ruby,"Official of the Rat Catcher's Guild of Letheras
",MT
Rucket,"Chief Investigator of the Rat Catcher's Guild of Letheras
","MT, RG, DoD"
Rudd,"Familiar of High Alchemist Baruk
",DG
Rud Ellale,"Half human, half Eleint Soletaken, son of Menandore and Udinaas, raised by Bentract Imass. Also known as Ryadd Eleis
","MT, RG, DoD, CG"
Ruffle,"Corporal in the Bonehunters
","RG, DoD, CG"
Rumjugs,"Soldier (later sergeant) in the Bonehunters, recruited from Letheras; formerly a prostitute
","DoD, CG"
Runter,"Sapper in the Bridgeburners
",MoI
Run'Thurvian,"Destriant of the Perish Grey Helms
","DoD, CG"
Ruthan Gudd,"Captain in the Bonehunters
","BH, DoD, CG"
Rutt,"Child in the Snake
","DoD, CG"
Ryllandaras,"D'ivers; also called the White Jackal
","DG, HoC, RotCG"
Rystalle Ev,"T'lan Imass
","DoD, CG"
Rythe Bude,"Fist in Onearm's Host
","BH, CG"
Rythok,"K'Chain Che'Malle K'ell Hunter
",DoD
Sad,"Soldier in the Bonehunters
","DoD, CG"
Saddic,"Child in the Snake
","DoD, CG"
Sag'Churok,"K'ell Hunter of the K'Chain Che'Malle, onetime bodyguard to Redmask
","RG, DoD, CG"
Salind,"High Priestess of the Cult of the Redeemer
",TH
Salk Elan,"Name used by Pearl
",DG
Saltlick,"Soldier in the Bonehunters
","RG, BH, DoD, CG"
Samar Dev,"Scholar and witch from Seven Cities, companion of Karsa Orlong
","BH, RG, TH"
Sandalath Drukorlat,"Tiste Andii, wife of Withal
","MT, RG, DoD, CG"
Sands,"Soldier in the Bonehunters
","HoC, BH, RG"
Sathboro Rangar,"Arapay warlock
",BH
Sawark,"Malazan Commander of the guard in the otataral mining camp, Skullcup
",DG
Scabandari Bloodeye,"Tiste Edur Elient Soletaken
",MT
Scant,"Soldier in the Bonehunters
","RG, DoD"
Scillara,"Camp follower in Raraku, later companion to Cutter
","HoC, BH, TH, OST"
Scint,"Official of the Rat Catcher's Guild of Letheras
",MT
Scorch,"Bodyguard in Darujhistan
",TH
Scrawl,"Soldier in the Bonehunters
",HoC
Scurve,"Barkeep at the Phoenix Inn in Darujhistan
","GotM, TH"
Seal,"A onetime Malazan army healer
",NoK
Seba Krafar,"Master of Darujhistan's Guild of Assassins
",TH
Seerdomin,"Former Seerdomin of the Pannion Domin, now resident in Black Coral
","MoI, TH"
Selush,"Letherii dresser of the dead
",MT
Selv,"Wife of Captain Keneb
",DG
Senu,"Seguleh warrior, servant to Lady Envy
",MoI
Seren Pedac,"Acquitor to Buruk the Pale, later one of the Hunted.
","MT, RG, DoD, CG"
Serenity,"Pure Forkrul Assail, lawful inquisitor
","MT, CG"
Serrat,"Second-in-Command of the Tiste Andii under Anomander Rake
",GotM
Setoc,"Letherii child
","RG, DoD, CG"
Sha'ik,"Prophetess and leader of the Whirlwind
",DG
Shadowthrone,"Ascendant and ruler of the <a href=""/wiki/High_House_Shadow#Realm_of_Shadow"" class=""mw-redirect"" title=""High House Shadow"">Warren of Shadow</a>; also called Ammanas
","GotM, DG, HoC, BH, RG, TH, CG, NoK"
Shan,"<a href=""/wiki/Hounds_of_Shadow"" class=""mw-redirect"" title=""Hounds of Shadow"">Hound of Shadow</a>
","GotM, DG, TH"
Shand,"Letherii employee of Tehol Beddict
",MT
Shank,"Mage in the Bridgeburners
",MoI
Shard,"Corporal in the Bonehunters
","HoC, BH. RG, DoD, CG"
Shardan Lim,"Council member in Darujhistan
",TH
Sharl,"Shake woman
",CG
Sheb,"Wanderer
",DoD
Shedunul,"Lady of Health, another name for Soliel
",CG
Shelemasa,"Warrior of the Khundryl Burned Tears
","DoD, CG"
Sheltatha Lore (Daughter Dusk),"Elder ascendant, Soletaken Elient, daughter of Tiam and Scabandari Bloodeye, sister of Sukul Ankhadu and Menandore, mother of Lady Envy and Sister Spite
",RG
Shoaly,"Soldier in the Bonehunters
","RG, DoD"
Shortnose,"Soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Shurq Elalle,"Undead Letherii thief and itinerant pirate captain
","MT, RG, DoD, CG"
Sidlis,"Soldier in the Grey Swords
",MoI
Silanah,"Eleint and companion to Anomander Rake
","GotM, TH, CG"
Silchas Ruin,"Tiste Andii Elient Soletaken; brother of Anomander Rake, also called White Crow; one of the Hunted
","MT, RG, DoD, CG"
Silgar,"Malazan slavemaster, later Leper of the House of Chains
",HoC
Silverfox,"Reborn form of Tattersail, Nightchill and Bellurdan; T'lan Imass bonecaster; Soletaken
",MoI
Simtal,"Noblewoman in Darujhistan
",GotM
Sinn,"Young girl; precociously talented High Mage in the Bonehunters; companion to Grub
","HoC, BH, RG, DoD, CG"
Sinter,"Sergeant in the Bonehunters
","DoD, CG"
Sirryn Kanar,"Palace guard in Letheras
",RG
Sister Spite,"Sorceress, daughter of Draconus and Sheltatha Lore, sister of Lady Envy, Soletaken
","BH, TH"
Skanarow,"Captain in the Bonehunters
","DoD, CG"
Skim,"Soldier in the Bonehunters
","RG, DoD"
Skintick,"Tiste Andii, cousin to Nimander Golit; Soletaken Eleint
","TH, CG"
Skorken Kaban,"First mate on Shurq Elalle's ship
","RG, DoD, CG"
Skulldeath,"Soldier in the Bonehunters
","RG, DoD, CG"
Skwish,"Shake witch
","RG, DoD, CG"
Smiles,"Soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Snell,"Daru child
",TH
Sobelone,"Sergeant in the Bonehunters
",HoC
Sordiko Qualm,"High Priestess of Shadow in Derujistan
",TH
Sormo E'nath,"Wickan warlock
",DG
Spax,"Gilk Barghast Warchief
","DoD, CG"
Spindle,"Mage and sapper in the Bridgeburners, 7th squad
","MoI, TH, OST"
Spinnock Durav,"Tiste Andii warrior
","TH, CG"
Squint,"Malazan bowman who shot Coltaine at the Fall outside Aren
","DG, HoC, BH"
Stacker,"Soldier in the Bonehunters
",HoC
Stavi,"Daughter of Hetan, twin sister of Storii
","DoD, CG"
Stillis,"Captain of the Guard for Lady Simtal's Estate in Darujhistan
",GotM
Stolmen,"Barghast warchief
",DoD
Stonny Menackis,"Caravan guard on Genabackis, and later the head of a Dueling School in Darujhistan.
","MoI, TH"
Storii,"Daughter of Hetan, twin sister of Stavi
","DoD, CG"
Stormy,"A former high-ranking member of the old guard in the Empire, Stormy was busted down by Lasseen after she took over and outlawed the Cult of Fener, which he was a part of. Stormy and Gesler are put into the Marines by Captain Lull during the Chain of Dogs, and Stormy is then a Corporal in the Bonehunters, before eventually taking on the role of Shield Anvil of the K'Chain Che'Malle. He sacrifices his life to stop Sinn from possessing the heart of the Crippled God. Stormy is a very sensitive man who gets easily attached to people and is very emotional whenever someone he cares about dies. Although he sometimes acts like an idiot outwardly, this is revealed to be something he only does as an act.
","DG, HoC, BH, RG, DoD, CG"
Stahl,"Barghast warrior
",DoD
Strap Mull,"Soldier in the Bonehunters
","RG, DoD"
Straw,"Mott Irregular
",MoI
Strong Rall,"Cut-throat in Letheras
",MT
Studlock,"Castellan in Darujhistan; renegade Seguleh; also known as Studious Lock
",TH
Stump,"Mott Irregular
",MoI
Sty,"Mott Irregular
",MoI
Sukul Ankhadu (Sister Dapple),"Elder ascendant, Soletaken Elient, daughter of Tiam and Osserc, sister of Sheltatha Lore and Menandore
",RG
Sulkit,"K'Chain Che'Malle
",DoD
Sulmar,"Captain in the 7th Army
",DG
Sulty,"Serving woman at the Phoenix Inn in Darujhistan
","GotM, TH"
Sunrise,"Sergeant in the Bonehunters, recruited from Letheras
",DoD
Surgen Ress,"The champion of Y'Ghatan who fought Dassem Ultor just before his apparent death
",NoK
Sweetcreek,"Captain (later Fist) in Onearm's Host
","BH, CG"
Sweetlard,"Soldier (later sergeant) in the Bonehunters, recruited from Letheras; formerly a prostitute
","DoD, CG"
Sweetest Sufferance,"Trygalle Trade Guild shareholder
","TH, CG"
Synyg,"Thelomen Toblakai, Karsa Orlong's father
",HoC
T'Amber,"Tavore Paran's aide and lover, the Spirit of the Eres'al
","DG, HoC, BH"
T'morol,"Mathok's bodyguard
","HoC, CG"
Talo Krafar,"Assassin of Jurrig Denatte's Clan in Darujhistan's Guild of Assassins
",GotM
Talamandas,"Barghast sticksnare
","MoI, DoD"
Tanal Yathvanar,"Personal assistant of Karos Invictad of the Patriotists of Letheras
",RG
Tanakalian,"Shield Anvil of the Perish Grey Helms
","BH, DoD, CG"
Taralack Veed,"Gral companion to Icarium, agent of the Nameless Ones
","BH, RG, DoD"
Tarr,"Corporal (later Sergeant) in the Bonehunters
","HoC, BH, RG, DoD, CG"
Tattersail,"Malazan Cadre Sorceress in Onearm's Host
",GotM
Tavore Paran,"Malazan noble-born of House Paran; sister to Felisin and Ganoes Paran; Adjunct of the Malazan Empress, commander of the Bonehunters
","GotM, DG, HoC, BH, RG, DoD, CG"
Tavos Pond,"Mage in Bonehunters
","HoC, BH, RG"
Tayschrenn,"Malazan High Mage, for a while masquerades as Arthantos
","GotM, MoI, BH, NoK"
Taxilian,"Interpreter
","BH, RG, DoD"
Tehol Beddict,"Letherii, brother to Hull and Brys Beddict; later King of Letheras
","MT, RG, DoD"
Telorast,"Eleint ghost, trapped in Emurlahn, freed by Apsalar, twin to Curdle
","BH, RG, DoD, CG"
Temul,"Crow Clan Wickan lancer under Coltaine, later Fist in the Bonehunters
","DG, HoC, BH"
Temper,"A former member of Dassem Ultor's First Sword, and later a guardian for the Deadhouse
","BH, CG, NoK"
Tene Baralta,"Captain of the Red Blades, later Fist in the Bonehunters
","DG, HoC, BH"
Thenik the Shattered,"T'lan Imass
","DoD, CG"
Theradas Buhn,"Tiste Edur, eldest son of the Buhn bloodline
",MT
Tholis,"High Mage of Darujhistan's T'orrud Cabal
",GotM
Thom Tissy,"Sergeant in the Bonehunters
","HoC, BH, RG, DoD"
Thordy,"Wife of Gaz, briefly Mason of Death
",TH
Throatslitter,"Soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Thurule,"Seguleh warrior, servant to Lady Envy
","MoI, TTH"
Til'Aras Benok,"T'lan Imass bonecaster
",RG
Tiserra,"Wife of Torvald Nom; a potter.
",TH
Toc the Elder,"Malazan who disappeared during Laseen's purges of the Old Guard
","GotM, CG"
Toc the Younger,"Son of Toc the Elder; Malazan scout in Onearm's Host; an agent of the Claw
","GotM, MoI, RG, TH, DoD, CG"
Toes,"Mage in the Bridgeburners
",MoI
Tomad Sengar,"Tiste Edur; Patriarch of the Sengar Bloodline, husband of Uruth, father of Fear, Trull, Binadas and Rhulad
","MT, BH, RG"
Topper,"Commander of the Claw
","GotM, DG, HoC"
Torahval Delat,"Priestess of Poliel in Seven Cities, sister to Quick Ben
",BH
Torun,"Soldier in the Grey Swords
",MoI
Torrent,"Awl Copperface
","RG, DoD, CG"
Torvald Nom,"Formerly companion to Karsa Orlong, later Guard Captain in Darujhistan; cousin of Rallick Nom, husband of Tiserra
","HoC, TH, OST"
Touchy,"Corporal in the Bonehunters; twin of Brethless
","DoD, BH, RG, CG"
Travale,"Soldier of Darujhistan's T'orrud Cabal
",GotM
Treach,"First Hero (God of War), the Tiger of Summer
",MoI
Trenech,"A regular at the Hanged Man inn
",NoK
Triban Gnol,"Letherii Chancellor
","MT, RG"
Trissin,"Watered Forkrul Assail
",CG
Trotts,"Barghast warrior in the Bridgeburners, 9th Squad
","GotM, MoI, DoD, CG"
Trull Sengar,"Tiste Edur, son of Uruth and Tomad Sengar and brother of Fear, Rhulad and Binadas
","HoC, MT, BH, RG"
Truth,"Recruit in the Malazan Coastal Guard
","DG, HoC, BH"
Tulip,"Corporal in the Bonehunters
","HoC, RG, DoD"
Tugg,"Sergeant in the Bonehunters
",HoC
Tulas Shorn,"Undead Eleint Soletaken - contemporary of Silchas Ruin and Anomander Rake
","TH, CG"
Tumlit,"Malazan noble on the Chain of Dogs
",DG
Turban Orr,"Councilman in Darujhistan and Lady Simtal's lover
",GotM
Turble,"Letherii citizen
",MT
Twist,"Leader of the Black Moranth
",MoI
Ublala Pung,"Well endowed Letherii criminal, half Tarthenal Toblakai
","MT, RG, DoD, CG"
Udinaas,"Letherii servant to Rhulad Sengar, Soletaken; later one of the Hunted
","MT, RG, DoD, CG"
Ulag Togtil,"T'lan Imass
","DoD, CG"
Ultentha,"Pannion Septarch of Coral
",MoI
Ulshun Pral,"Imass
","MT, RG, DoD, CG"
Unn,"Half-blood Letherii indigent
",MT
Unnutal Hebaz,"Preda of Letherii army
",MT
Untilly Rum,"Captain in the Bonehunters
",DoD
Urb,"Sergeant in the Bonehunters
","BH, RG, DoD, CG"
Ursto Hoobutt,"Letherii citizen
","MT, RG, DoD"
Uru Hela,"Soldier in the Bonehunters
","HoC, RG"
Urugal the Woven,"T'lan Imass Unbound in service to the Crippled God, and one of the gods of the Teblor tribes.
","HoC, DoD, CG"
Urul,"Chief server in Huldo's restaurant
",MT
Uruth,"Tiste Edur; Matriarch of the Sengar Bloodline, wife of Tomad, mother of Fear, Trull, Binadas and Rhulad
","MT, RG"
Vaneb,"Second-born son of Captain Keneb and Selv
",DG
Varat Taun,"Captain under Yan Tovis
","BH, RG"
Vastly Blank,"Soldier in the Bonehunters
","RG, DoD, CG"
Vedith,"Warrior of the Khundryl Burned Tears
",DoD
Velbara,"Recruit in Grey Swords
",MoI
Venaz,"Youth worker in the Darujhistan mines
",TH
Venitt Sathad,"Principal Field Agent of Rautos Havanar
",RG
Vildrom,"City guard of Darujhistan
",GotM
Virrick,"Letherii slave among the Tiste Edur
",MT
Vorcan,"Mistress of Darujhistan's Guild of Assassins; a High Mage, also known as Lady Varada briefly
","GotM, TH"
Whiskeyjack,"Sergeant of the Bridgeburners
","GotM, MoI, TH, DoD, CG"
Widdershins,"Soldier in the Bonehunters
","HoC, BH, RG, DoD, CG"
Wimble Thrup,"Soldier in the Bonehunters
","DoD, CG"
Withal,"A Meckros Weaponsmith who briefly works for the Crippled God, and later accompanies the Bonehunters after escaping from the Crippled God's influence
","MT, BH, RG, DoD, CG"
Wither,"Shadow wraith
","MT, RG"
Wu,"Dal Hon mage that would later take the name Kellanved and found the Malazan empire only to later ascend to the House of Shadow as Ammanas or Shadowthrone
","DL, DhL"
Yan Tovis,"Letherii Atri-Preda at Feint Reach, also called Twilight
","MT, BH, RG, DoD, CG"
Yedan Derryg,"Letherii, the Watch
","RG, DoD, CG"
